label,doc,sentence1,sentence2,sentence3,sentence4,sentence5
2,"It isn’t surprising when singers who advance to the next round in competitions such as American Idol each week are those who perform at the end of the episode. Is there really an advantage to performing toward the end of a competition? Researcher Wändi Bruine De Bruin’s latest paper, published in the journal Acta Psychologica , describes her studies on European figure-skating competitions and the Eurovision Song Contest, a pop song competition that has taken place in Europe since 1956 (and which, like American Idol , includes voting by fans watching at home). She found that participants appearing near the end of the contests received higher marks from judges than those who performed earlier. This phenomenon is known as the serial position effect . Bruine De Bruin also found that the effect was progressive, with scores increasing throughout the competitions, not just when judges evaluated all candidates at the end of each contest, but also when they were asked to rate each individual performance after it had been completed.",Competition: Survival of the Fittest,Candidates Who Perform Last Finish First ,Every Participant Is a Winner in His Contest,Brilliant Performances Don’t Come Overnight,"In Competition You Win or Lose, There Is No Grey"
2,"The exact steps for manufacturing a computer chip are known in great detail, as are the steps for flying an airplane or doing simple surgical procedures like hernia repairs or operating a ride at Disneyland. Straying from proven ways is rarely a creative act in such cases; rather, it is a sign of poor training, lack of attention, incompetence, or stupidity. For example, the captain of Aeroflot Flight 593 who broke the rules by giving his children a flying lesson in midflight was stupid, not creative. He first let his daughter fly the plane, then he gave his son a chance. Unfortunately, this 15-year-old boy made an error with the yoke, the plane stalled, and went into a dive that his dad could not reverse. When people are flying an airplane, there are enormous advantages to following proven methods. Safety is one of them! Companies that use tried-and-true methods are not only usually safer, they do things faster, cheaper, and more consistently than those that rely on new and unproven knowledge.","Innovate Every Day, Or You’ll Get Left Behind!","Proven Ways Are Often Better, Though Not Creative",Safety: The First Priority of Education for Children,Creativity Develops with Sufficient Basic Knowledge!,"The More Rules, the More Restrictions to Improvements"
2,"Today, with organizational leadership leading the way, groups are structured more like soccer or tennis teams than like army groups. Every team member is now empowered to act as a decision maker. Employees must see themselves as both executives and line workers. Organizational leadership masters are very comfortable with that. They don’t care about emptying their own wastebaskets and working in the field as long as the strength of the team is enhanced. These flattened organizations are turning up in every industry from steel companies to educational institutions. There’s much less emphasis on titles, hourly pay, or other incentives. The team’s performance and the strength of the organization are their own reward. This kind of effective teamwork doesn’t happen overnight, and the leader needs unique skills to bring it into being.",Listen to the People Working in Different Industries,Build Teams from a Horizontal Perspective,"Don’t Blame Others, Just Work to the Top",Great Teams Start with Inspirational Goals,Start Working and Dare to Challenge
3,"When I worked as a political strategist and wrote campaign plans, I always tried to lay a good foundation for managing change, even though I couldn’t know exactly what the change might be. As my team and I were brainstorming the plan, we’d make sure everybody in the campaign had a piece of the creative pie. It built unity and it was also strategic, because when a message needs to change, conflict can erupt between those who created the message and those who did not. The ones who created it are more likely to cling to the message and feel threatened by change. They may even be worried about losing their jobs. The ones who didn’t contribute to the message may be tempted to point fingers or use the situation to gain leverage. But if everyone contributed to the original plan, there’s a sense that “We’re all in this together; no single one of us is to blame.” Everyone will also feel more enthusiastic about creating and promoting an evolved message. ","To Lead Change, Change Yourself First!",Why a Political Campaign Is Difficult to Join,Make Campaign Plans Through Joint Participation,Brainstorming: A Necessary Element of Planning,Simplify a Key Message for Your Campaign to Win
5,"When you watch bees single-mindedly labor to make honey, it’s hard to believe that their greatest role in nature is something they are entirely unaware of: distributing pollen. Pollen is, in effect, the male part of a plant; it transfers DNA to the female part of the flower, an essential step in reproduction. Plants can disperse pollen by wind or insects, usually bees. As a honeybee hunts for nectar in flowers, pollen grains stick to its hairy body. When it visits more flowers, some of the pollen drops off, fertilizing the plant. Plants that rely on wind emit vast clouds of pollen, hoping a few grains will drift into other flowers. From an evolutionary point of view, harnessing insects is so much more efficient that insect-pollinated plants typically make one-thousandth as much pollen as their wind-dependent cousins.",Urban Beekeeping Harming Wild Bees,Pollen Grains: Male Germ Cells in Plants,"Definition, Types, and Methods of Pollination",Wind: An Efficient Way Plants Disperse Seeds,Honeybees: A Flower’s Important Agent of Pollination
2,"Many environmentalists use the phrase “Think globally, act locally.” That means you should be active in your community with the purposes of being planet-friendly. But it is also important to think globally and eat locally. A typical meal in the United States travels about 22,000 miles to reach your plate. The fish, meat, fruits, vegetables, and spices are often trucked and flown back and forth around the world as they are produced, packaged, and finally sold. That amounts to lots of “food miles,” and the travel along with the manufacture and disposal of the packaging burns fuel and causes pollution. That’s why some people call themselves “locavores” ― people who won’t eat anything that has been grown or prepared more than 100 miles away. When you buy food at nearby farmers’ markets, you are contributing both to cleaner air and to your community’s well-being. Local markets also tend to have fresher fruits and vegetables, which may be contaminated with fewer pesticides than those in a supermarket.",Why We Should Cut Down on Food Wastes,Locavores Can Save Local Markets and the Planet,Fast Distribution: A Core Factor to Provide Fresh Foods,"The More Food Miles, The More Diverse Foods We Get ",How We Can Popularize Our Local Foods More Globally
2,"Although play is universal among children, there are differences in the kinds of play observed across cultures. Families in various cultures encourage different types of play and attach different meanings to play activities. For instance, differences were apparent in a study that compared how Japanese and American mothers interacted with their young children in a free-play situation. Japanese mothers encouraged their young children to engage in pretend play ― suggesting, for example, that the child kiss a doll or offer the doll some food. American mothers emphasized the functional uses of the toys ― “Push the bus” ― and spoke more about the toys as objects than did Japanese mothers. Japanese mothers viewed the play situation as an opportunity to teach their children how to interact with others, whereas American mothers used play to teach their children about the world and how to explore it on their own. ",Side Effects of Play on Learning,Differences in Play Across Cultures,Playing with Children Isn’t Boring,Play: A Way of Building Character,Kids Don’t Have to Play with Toys
1,"According to the individualist form of rhetoric about science, still much used for certain purposes, discoveries are made in laboratories. They are the product of inspired patience, of skilled hands and an inquiring but unbiased mind. Moreover, they speak for themselves, or at least they speak too powerfully and too insistently for prejudiced humans to silence them. It would be wrong to suppose that such beliefs are not sincerely held, yet almost nobody thinks they can provide a basis for action in public contexts. Any scientist who announces a so-called discovery at a press conference without first permitting expert reviewers to examine his or her claims is automatically castigated as a publicity seeker. The norms of scientific communication presuppose that nature does not speak unambiguously, and that knowledge isn’t knowledge unless it has been authorized by disciplinary specialists. A scientific truth has little standing until it becomes a collective product. What happens in somebody’s laboratory is only one stage in its construction.",Path to Scientific Truth: Scientific Community’s Approval,The Prime Rule of Science: First Means Best,The Lonely Genius Drives Scientific Discoveries,Scientific Discoveries Speak for Themselves!,Social Prejudice Presents Obstacles to Scientific Research
2,"When our feathers are ruffled because something is said or done that challenges our values, we sometimes react as if it were an emergency. We take immediate action to resolve our differences without giving the situation or how it could be handled any serious thought. The consequences of our reaction also aren’t fully considered; we can only think about our next move and how it will prove our point or improve our position. In these circumstances, it is best that we do not react right away. We can slow down and allow ourselves adequate time to respond in accordance with our values and goals. When we feel compelled to react, we can instead pause to observe and fully experience the emotions associated with those reactions so that we can make informed decisions. We can take time to think things through and carefully evaluate our options. ",Make Informed Decisions on Where to Go,Take Your Time to Think and Then Respond,Adjust Your Goals When They Aren’t Working,Don’t Be Ashamed to Make Decisions Based on Emotions,Immediate Reaction: Absolutely Necessary in an Emergency
4,"Each morning, we wake up and experience a rich explosion of consciousness ― the bright morning sunlight, the smell of roast coffee and, for some of us, the warmth of the person lying next to us in bed. As the slumber recedes into the night, we awake to become who we are. The morning haze of dreams and oblivion disperses and lifts as recognition and recall bubble up the content of our memories into our consciousness. For the briefest of moments, we are not sure where we are and then suddenly “I,” the one that is aware, awakens. We gather our thoughts so that the “I” who is conscious becomes the “me” ― the person with a past. The memories of the previous day return. The plans for the immediate future are reformulated. The realization that we have things to get on with reminds us that it is a workday. ",Identity: Just an Extension of Unconsciousness,Dreams Recreate the Past and Foretell the Future,Human Memory Can Be Distorted by a Very Subtle Means,Becoming Conscious of Ourselves: The Ritual of Every Morning,Human Relationship Exists for the Fulfillment of Human Needs
4,"The American anthropologist Margaret Mead once said, “Never doubt that a small group of thoughtful, committed citizens can change the world. Indeed, it is the only thing that ever has.” This same concept was echoed by Kelly Johnson: “The number of people having any connection with the project must be restricted in an almost vicious manner.” There are pretty good reasons for these opinions. Large or even medium-sized groups ― corporations, movements, whatever ― aren’t built to be flexible, nor are they willing to take large risks. Such organizations are designed to make steady progress and have considerably too much to lose to place the big bets that certain breakthroughs require. Fortunately, this is not the case with small groups. With no bureaucracy, little to lose, and a passion to prove themselves, when it comes to innovation, small teams consistently outperform larger organizations",Don’t Let Relationships Bind You,Risks: The Chance to Make Groups Grow,"Size Matters! The Bigger, the More Efficient",Why Small Teams Surpass Their Bigger Counterparts,Different Obstacles Faced by Small and Large Teams
1,"Even though media coverage of sports is carefully edited and represented in total entertainment packages, most of us believe that when we see a sport event on television, we are seeing it “the way it is.” We don’t usually think that what we see, hear, and read is a series of narratives and images selected for particular reasons and grounded in the social worlds and interests of those producing the event, controlling the images, and delivering the commentary. Television coverage provides only one of many possible sets of images and narratives related to an event, and there are many images and messages that audiences do not receive. If we went to an event in person, we would see something quite different from the images selected and presented on television, and we would develop our own descriptions and interpretations, which would be very different from those carefully presented by media commentators. ",Televised Sports: A Partial Reflection of a Sports Event,How Media Limits the Popularity of Some Sports,How Media Limits the Popularity of Some Sports,What Makes Sports Fans So Enthusiastic?,Sports Can Tear Down Social Barriers
1,"Despite the appearance of similarity between the two hemispheres of the brain, they are somewhat different in the functions they control and in the ways they control them. Certain behaviors are more likely to reflect activity in one hemisphere than in the other, or are lateralized. Keep in mind that the differences in specialization between the hemispheres are not great, and the degree and nature of lateralization vary from one person to another. If, like most people, you are right-handed, the control of language is probably concentrated more in your left hemisphere. By contrast, if you are among the 10% of people who are left-handed, it is much more likely that the language centers of your brain are located more in the right hemisphere. Furthermore, the two hemispheres of the brain function in tandem. It is a mistake to think of particular kinds of information as being processed solely in the right or the left hemisphere. The hemispheres work interdependently in deciphering, interpreting, and reacting to the world.",The Specialization of the Hemispheres: Two Brains or One?,The Evolution of Hemispheric Specialization in Humans,Hemispheric Imbalance: Individual Differences,Myths About the Brain: Separating Fact from Fiction,Right-Brained People in a Left-Brained World
5,"The dinosaur was a remarkably successful creature. Man has only been around for some ten million years but the dinosaur survived for a hundred and thirty million years. So when we regard the dinosaur as a classic failure of adaptation we are looking at the moment of failure rather than at the many years of success. Right up until the moment of failure the dinosaur was a success. But hindsight satisfaction with success was no protection against extinction in the future. Furthermore, right up to the end the various parts of the dinosaur were carrying out their evolved function in perfect order: the heart, the brain, the muscles and sinews were all performing as competently as ever. So neither a successful history nor physiological soundness was sufficient to guarantee the dinosaur a future in its evolved state. The one evolutionary quality it had not got was that of adaptation. The success it had experienced while living in a stable environment for a hundred and thirty million years had left it unprepared for a changing world.",Survival Instinct: The Basic Instinct of All Creatures,Evidence of Dinosaurs’ Evolution from Preserved Fossils,The Mass Extinction of the Dinosaurs: A Scientific Mystery,Archaeological Proof that Dinosaurs Survived the Ice Age,Constant Adaptation: A Missing Key that Led Dinosaurs to Extinction
5,"Distortion is an unavoidable problem of representing a sphere on a flat map. But when a map depicts only a small area, the distortion should be insignificant. If we use a map of a state park for hiking, this distortion will be too small to affect us. On maps that show large regions or the entire world, the Earth’s curvature causes apparent and pronounced distortion. To be skilled map users, we must know which properties a certain map depicts accurately, which features it distorts, and for what purpose a map is best-suited. If we are aware of these map characteristics, we can make accurate comparisons and measurements on maps and better understand the information that the map conveys. ",A Practical Guide to Map Making,How to Choose the Most Accurate Map,Distortion: A Difficulty in Map Making ,What Are the Differences Between Maps and Globes?,Knowing the Nature of Maps Leads to Better Map Literacy
1,"In moderate winds, leaves bend back and flutter. As the wind’s force increases, leaves change their behavior and absorb a portion of the wind’s strength, using it to furl into a defensive posture. The leaves fold onto themselves, rolling their margins to the center. They take on shapes of strange fish, shedding air from their aerodynamic surfaces. The compound leaves of hickories fold each leaflet to the central stalk, forming a loosely rolled cigar. Air rushes past, its death grip loosened. As the wind weakens, the leaves spring back, unrolling into sails again. Lao Tzu reminds us: “Grass and trees are pliant and fragile when living, but dried and shriveled when dead. Thus the hard and strong are the comrades of death; the supple and the weak are the comrades of life. A weapon when strong is destroyed; a tree when strong is felled.",Flexibility: The Key Strategy of Survival,Nature Prefers the Stronger to the Weaker,Death: The Birth of a New Life in Nature,Going Against the Wind Means Getting Stronger,Leaves: The First Indicator of Trees’ Well-Being
1,"One of history’s few iron laws is that luxuries tend to become necessities. Once people get used to a certain luxury, they take it for granted. Then they begin to count on it. Finally they reach a point where they can’t live without it. Let’s take a familiar example from our own time. Over the last few decades, we have invented countless time-saving devices that are supposed to make life more relaxed ― washing machines, vacuum cleaners, dishwashers, telephones, mobile phones, computers, email. The majority of households in the developed world have them and can’t even imagine life without them. Previously it took a lot of work to write a letter, address and stamp an envelope, and take it to the mailbox. It took days or weeks, maybe even months, to get a reply. Nowadays I dash off an email, send it halfway around the globe, and receive a reply a minute later.",Newly Accustomed Luxuries: Indispensable and Irreversible,Time: The Most Expensive Item We Have Sought for,Too Many Devices Occupy Our Life and Space,A Leisurely Life: Humans’ Lasting Dream,Why We Feel Happy When We Are Busy
1,"If you have a camera around your neck when traveling to a foreign country, it gives you a reason to wander in and explore places where someone without a camera might seem out of place or suspicious. At the same time, in many places, when people see you with a camera, they feel you’re ‘safe’ ― just an ordinary tourist ― and often they may help you find your way. Or they may suggest areas to get interesting pictures. A camera also can provide an opening for conversation about other things. People see the camera and start talking about that, opening the door for conversations about other things. If you are receptive to such developments, you can encourage them by responding to their casual comments in a way that invites more conversation. And sometimes these meetings can blossom into ongoing relationships with someone who will introduce you to new parts of the culture.",Camera: A Passport to a New World,Digital Cameras: Blessing or Curse?,Your Picture: A Window to Yourself,A Picture Is Worth a Thousand Words,Tips to Never Lose Cameras While Traveling
1,"What determines whether the slowing of time is an empowering experience or a drag? In large part, the difference between the martial artist’s slow-motion world and that of boredom narrows down to a matter of perceived control. The martial artist controls the speed of events. He or she slows down the external world in order to take charge of what would otherwise be too complex to take on. The resulting sense of competence is exhilarating. In Zen, the extreme slowing of time is a complete sense of timelessness ― literally, nirvana. In the case of boredom, the slowing down of the clock feels outside of one’s control. The boredom controls the individual’s sense of time. Affectively, this slowing down is experienced at the very least as unpleasant; often it is extremely painful. At the pathological extreme of boredom lies a sense of hopelessness. Clinically depressed individuals often describe their pain with the very same words spoken by the martial artist ― that each moment feels like eternity. For the depressed person, however, the stretching of time is a chilling experience.",Time-Stretching: A Blessing or a Curse?,Keeping Pace with the Slow-Motion World,Spending Quality Time Against Your Boredom,The Illusion Caused by Time Slowing Down,The Hidden Value of Free Time and Boredom
4,"Radioactive waste disposal has become one of the key environmental battlegrounds over which the future of nuclear power has been fought. Environmentalists argue that no system of waste disposal can be absolutely safe, either now or in the future. Governments and the nuclear industry have tried to find acceptable solutions. But in countries where popular opinion is taken into consideration, no mutually acceptable solution has been found. As a result, most spent fuel has been stored in the nuclear power plants where it was produced. This is now causing its own problems as storage ponds designed to store a few years’ waste become filled or overflowing. One avenue that has been explored is the reprocessing of spent fuel to remove the active ingredients. Some of the recovered material can be recycled as fuel. The remainder must be stored safely until it has become inactive. But reprocessing has proved expensive and can exacerbate the problem of disposal rather than assisting it. As a result, it too appears publicly unacceptable.",Are Nuclear Power Plants Really Dangerous?,How to Improve Our Waste Disposal System,No Benefits: Nuclear Power Plants Are Deceiving Us,An Unresolved Dilemma in Dealing with Nuclear Waste,Ignorance Is Not a Blessing: Policies for Nuclear Issues!
4,"Unless we know the history of a word, it is nearly impossible to tell which words are formed through backformation, even though many words enter the language in this way. Backformation is a process by which a word is formed by omitting what appears to be a morpheme but which in reality is not. For example, edit is a backformation from editor , and scavenge is backformed from scavenger . Both editor and scavenger came into English from other languages: editor from Latin editus and scavenger from Old French scawager . Note the /n/ that was inserted from the French word to the English word; this by analogy with other words like messenger (French, messager ) and passenger (French, passager ). Although each of these words ends in er , this er is not equivalent to the er affix that means “one who does X,” as with driver and teacher , where the er is affixed to the verbs drive and teach . However, English speakers, by analogy, nevertheless unconsciously analyzed scavenger and editor as ending in the familiar “agentive” er and backformed the verbs edit and scavenge.",Why Some English Words Can Have Multiple Meanings,Knowing the History of a Word Enables Backformation,Latin and Old French: The Roots for Many English Words,Misguided Analogy Sometimes Leads to Backformation,Backformation: A Good Tool for Inferring the Meaning of Words
4,"Every company wants to retain customers for a long time. Here are three important factors which work against every business’ wish and drive high customer turnover. The first is infrequency of use by any one person. Products and businesses that have had a constant influx of new customers for this reason include funeral services, landscaping projects, pregnancy tests, real estate agencies, and moving companies. The second factor is durability. We use cars and refrigerators all the time, but because they typically last for many years, we buy them only once in a while. People who purchase such products, therefore, behave like new customers; unlike consumers of toothpaste and other disposable products, they’re not constantly in the market. The third factor relates to how narrow the age range of the intended audience is: Products and services aimed at specific age groups have transient customers. Think of diapers, young-adult books and movies, bridal magazines, and retirement communities. ",Competition for Loyal Customers,Satisfy Customers from Cradle to Grave,Do to Others as You Would Be Done by,What Prevents Customers from Staying with You for Long,"Out of Sight, Out of Mind: Keep in Touch with Your Customers"
2,"Through evolution, our brains have developed to deal with acute dangers, whether saber-toothed cats or thunderstorms. Our nerve connections will ensure that we become aware of the dangers and react to them to protect ourselves, being alerted by their peculiar smell, their threatening looks, or their scary noise. But nothing in our past has prepared us to deal with the insidious chemical threats that endanger the development of the next generation’s brains. On the contrary, we are thoroughly enjoying the immediate benefits of attractive consumer goods, efficient technologies, and handsome profits that we generate from producing and disseminating hazardous chemicals. Our senses are not geared toward detecting the underlying dangers. The irony is that the resulting harm to the brain may wipe out some of those senses that we badly need to manage this very problem. ",Chemicals as a Blessing in Disguise,Under Undetectable Attack by Chemicals,Brain Chemicals: Traces of Human Evolution,Chemical Signals: Brain’s Communication Tools,Beyond Biological Evolution to Chemical Evolution
1,"If you engage in intercultural communication for any length of time, inevitably you will encounter some type and degree of conflict. The conflict may arise due to differences between you and the other individual(s), or it could be an internal conflict, resulting from having to make decisions when confronted by culturally different beliefs or values. Encountering disagreements is a natural characteristic of interacting with individuals who have differing perceptions of what is right or wrong, good or bad, acceptable or unacceptable, etc. The important aspect is not whether conflicts will occur, because they will, but rather how to successfully manage the situation. Normally, the best resolution of an external conflict happening in intercultural communication is one where both parties are satisfied ― mutual agreement. This is often achieved through reciprocal compromise, as in international business and diplomatic negotiations. In these cases, an agreement is usually reached through an adjustment over interests, such as price, time, or support, e.g., how much an item costs, when it will be delivered, and the type of warranty.",Resolve Intercultural Conflicts Through Compromise,When to Compromise and When to Confront,A Conflict Is Good in a Negotiation Process,Obstacles to Reaching Mutual Agreement,Accept the Inevitability of Conflicts
1,"It is difficult to understand what it means to be noble, elegant, courageous, or even unselfish, unless we meet people in stories whose actions show us what these things mean. What would you understand about “beauty” if you had never seen or heard anything beautiful? A young woman once wrote to J. R. R. Tolkien, “You have made truth and honor more meaningful to me.” If you have read The Lord of the Rings and followed the courageous Sam Gamgee and Frodo on their adventure, you already know why she wrote to Tolkien in this way. All of us face choices that involve honor and truth. When it comes to moral issues, especially, it helps to think in terms of stories, rather than abstract concepts.",Good Stories Put Flesh on Abstract Ideas,The Fine Line Between Fact and Fiction,There’s No Better Time Killer Than a Novel,"No More Fiction, Now It’s Time for Nonfiction!","Don’t Read a Summary First, Just Read It Through!"
1,"Every growing male needs to feel that he brings something significant to the table of every important relationship in his life. He wants to provide something that is entirely male and unique to him. He wants and needs to provide. So encourage him. What is he good at supplying that no one else can? Help him discover what he can give that will make another person’s life better. By doing this and acting on these instincts, he begins to sense that he is exercising masculine power. This ability is extremely important to healthy masculinity. The reason men so often define themselves by how much they earn, how well they lead, or how effectively they protect their families is that men (and boys) really do need to feel that they are providing something useful. It is crucial to their sense of self-respect. A male’s desire to provide, protect, and lead can make him a great husband, a great boss, and a great dad. Help him direct and fulfill these instincts.",Being Helpful to Others: A Basis for Male Identity,Is Our Society Ruled by a Male-Dominated Culture?,Male and Female Brains: Similarities and Differences,The Influence of Social Media Use on Gender Identity,Is Gender Identity Determined Biologically or Socially?
5,"We speak of the complex network of meanings of a Shakespeare play without always supposing that Shakespeare was holding these meanings in his head at the exact moment of writing the words down. How could any poet of such prodigal imaginative fertility keep in mind all the possible connotations of his meanings? To say ‘This is a possible meaning of the work’ is sometimes to say that this is what the work can be plausibly interpreted to mean. What the author actually ‘had in mind’ may be completely beyond recovery, even for himself. Many writers have had the experience of being shown patterns of meaning in their work which they did not mean to put there. And what of unconscious meanings, which are by definition not deliberately intended? ‘I really do think with my pen’, Wittgenstein observes, ‘because my head often knows nothing about what my hand is writing.’",Why Do Writers Try to Assign a Meaning to Life?,Imagination: The Most Important Quality of a Writer,There Are Still Writers Who Write with Pen and Paper,"The Moment of Writing: Not an Escape, But an Adventure",Do the Meanings of a Work Lie Just Within the Writer’s Head?
1,"Within every problem, difficulty, or hardship lies the opportunity to experience the opposite through the choice of deciding what to believe. It is your perception of the situation. Sometimes you may wonder why certain things happen, such as financial difficulties or relationship problems, and it is very difficult to understand what greater good may come of it. Within every perceived difficulty lies the ability to experience the opposite. You can change your perception towards anything by viewing life from the opposite side. Both views are complementary; one cannot exist without the other. By understanding the law of opposites, the next time a problem arises, you can remind yourself to think of what good has or will come of it. The quicker you learn how to look for the side that is not currently dominant, such as joy out of misery, the quicker you will learn how to negate the negative and move forward in your life.",Making Good Things Come out of Adversity,Not Easy to Distinguish Between Good and Evil,You Don’t Have to Respond to Every Opposition,Avoid People Who Will Rob You of Your Happiness,Don’t Turn Your Past Troubles into Your Present Excuses
1,"A defining element of catastrophes is the magnitude of their harmful consequences. To help societies prevent or reduce damage from catastrophes, a huge amount of effort and technological sophistication are often employed to assess and communicate the size and scope of potential or actual losses. This effort assumes that people can understand the resulting numbers and act on them appropriately. However, recent behavioral research casts doubt on this fundamental assumption. Many people do not understand large numbers. Indeed, large numbers have been found to lack meaning and to be underestimated in decisions unless they convey affect (feeling). This creates a paradox that rational models of decision making fail to represent. On the one hand, we respond strongly to aid a single individual in need. On the other hand, we often fail to prevent mass tragedies or take appropriate measures to reduce potential losses from natural disasters. ",Insensitivity to Mass Tragedy: We Are Lost in Large Numbers,Power of Numbers: A Way of Classifying Natural Disasters,How to Reach Out a Hand to People in Desperate Need,Preventing Potential Losses Through Technology,"Be Careful, Numbers Magnify Feelings!"
